Date ,Day,Months,Year,Quarter,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
13-Aug-24,Tuesday,August,2024,Q3,EQ,495.95,497.85,488.25,494.6,491.5,490,493.29,510.65,399.35,"77,57,706.00","1,19,952.00"
12-Aug-24,Monday,August,2024,Q3,EQ,492,500,492,495.9,494.4,494.6,497.04,510.65,399.35,"90,76,097.00","1,33,143.00"
09-Aug-24,Friday,August,2024,Q3,EQ,498,498,493.1,494.75,496.15,495.9,495.38,510.65,399.35,"92,01,793.00","1,44,367.00"
08-Aug-24,Thursday,August,2024,Q3,EQ,494,498,492.5,492.65,494.15,494.75,494.99,510.65,399.35,"2,05,58,134.00","2,50,724.00"
07-Aug-24,Wednesday,August,2024,Q3,EQ,490,495.6,488.1,486.3,492.75,492.65,491.96,510.65,399.35,"1,09,00,585.00","1,73,490.00"
06-Aug-24,Tuesday,August,2024,Q3,EQ,486.25,491.7,484.05,486,487.8,486.3,487.52,510.65,399.35,"1,37,22,855.00","1,65,576.00"
05-Aug-24,Monday,August,2024,Q3,EQ,480.05,491.9,479.55,489.1,485.9,486,485.81,510.65,399.35,"2,40,94,139.00","2,40,878.00"
02-Aug-24,Friday,August,2024,Q3,EQ,484.8,499.45,484.8,493.7,488.85,489.1,491.08,510.65,399.35,"2,13,20,064.00","2,53,754.00"
01-Aug-24,Thursday,August,2024,Q3,EQ,495.95,496.75,490.95,495.35,493.05,493.7,493.72,510.65,399.35,"1,16,65,529.00","1,67,982.00"
31-Jul-24,Wednesday,July,2024,Q3,EQ,492.45,497.95,490.5,489.9,495.5,495.35,494.03,510.65,399.35,"1,15,38,215.00","1,84,885.00"
30-Jul-24,Tuesday,July,2024,Q3,EQ,496.3,497.8,488.65,496.05,490.5,489.9,491.81,510.65,399.35,"1,33,75,906.00","1,71,911.00"
29-Jul-24,Monday,July,2024,Q3,EQ,505.5,506.2,494.05,502.2,496.25,496.05,498.4,510.65,399.35,"1,24,96,895.00","1,59,533.00"
26-Jul-24,Friday,July,2024,Q3,EQ,494.05,506.4,487.4,489.95,501.55,502.2,498.22,510.65,399.35,"2,07,36,094.00","2,04,107.00"
25-Jul-24,Thursday,July,2024,Q3,EQ,490,496,484.65,494.05,490.2,489.95,490.32,510.65,399.35,"1,78,78,994.00","2,27,325.00"
24-Jul-24,Wednesday,July,2024,Q3,EQ,496,510.65,490.65,492.2,494,494.05,500.33,510.65,399.35,"4,20,73,323.00","4,00,376.00"
23-Jul-24,Tuesday,July,2024,Q3,EQ, ,497.4,466.4,466.55,496.95,492.2,483.29,499.7,399.35,"5,40,44,423.00","4,99,337.00"
22-Jul-24,Monday,July,2024,Q3,EQ,474.6,479.45,465.85,474.55,466.3,466.55,470.1,499.7,399.35,"1,80,66,586.00","2,32,860.00"
19-Jul-24,Friday,July,2024,Q3,EQ,471,479.4,469.4,470.25,473.15,474.55,474.65,499.7,399.35,"2,49,77,373.00","2,68,257.00"
